Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\Kaizad\20221412_COMPASS_P_analysis_plate1.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 2,,,,,,,,,,,,,
Date,12/14/22,,,,,,,,,,,,,
Time,2:50:40 PM,,,,,,,,,,,,,
Reader Type:,Synergy Neo2,,,,,,,,,,,,,
Reader Serial Number:,180521A,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  880,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 50 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,25.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,1.267,0.104,0.137,0.113,0.095,0.154,0.112,0.097,0.124,0.104,0.094,0.157,880
,B,0.57,0.132,0.121,0.101,0.108,0.115,0.116,0.098,0.175,0.353,0.115,0.159,880
,C,0.357,0.119,0.096,0.114,0.113,0.127,0.105,0.112,0.12,0.176,0.119,0.16,880
,D,0.254,0.177,0.102,0.108,0.106,0.111,0.108,0.109,0.107,0.142,0.122,0.131,880
,E,0.192,0.181,0.104,0.117,0.105,0.095,0.113,0.116,0.099,0.148,0.11,0.097,880
,F,0.13,0.2,0.102,0.109,0.208,0.13,0.113,0.123,0.122,0.415,0.11,0.189,880
,G,0.14,0.145,0.108,0.1,0.142,0.113,0.107,0.115,0.165,0.114,0.116,0.166,880
,H,0.095,0.138,0.092,0.115,0.139,0.156,0.122,0.172,0.195,0.178,0.133,0.126,880
