Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\Kaizad\12022022_COMPASS_molybdate_P_initialtesting.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,12/2/22,,,,,,,,,,,,,
Time,8:49:06 AM,,,,,,,,,,,,,
Reader Type:,Synergy Neo2,,,,,,,,,,,,,
Reader Serial Number:,180521A,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
    Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  880,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 50 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.12,0.279,0.288,0.566,0.606,0.511,0.082,0.086,0.084,0.083,0.082,0.113,977 [Test]
,,0.085,0.302,0.296,0.694,0.751,0.549,0.083,0.087,0.083,0.084,0.084,0.081,900 [Ref]
,,0.196,-0.128,-0.046,-0.71,-0.806,-0.212,-0.006,-0.003,0.001,-0.003,-0.011,0.181,Pathlength
,B,0.116,0.214,0.805,0.541,0.621,0.548,0.093,0.084,0.086,0.084,0.087,0.114,977 [Test]
,,0.08,0.173,0.973,0.679,0.741,0.621,0.093,0.082,0.085,0.084,0.089,0.081,900 [Ref]
,,0.198,0.227,-0.932,-0.766,-0.666,-0.406,-0.005,0.006,0.004,-0.002,-0.012,0.183,Pathlength
,C,0.119,0.194,0.229,0.676,0.422,0.536,0.081,0.082,0.084,0.085,0.09,0.118,977 [Test]
,,0.083,0.166,0.208,0.903,0.514,0.606,0.082,0.085,0.083,0.084,0.092,0.085,900 [Ref]
,,0.197,0.153,0.115,-1.264,-0.507,-0.392,-0.007,-0.018,0.007,0.005,-0.011,0.186,Pathlength
,D,0.121,0.264,0.794,0.546,0.518,0.532,0.082,0.084,0.085,0.084,0.084,0.124,977 [Test]
,,0.085,0.265,1.121,0.612,0.581,0.622,0.083,0.087,0.084,0.085,0.085,0.091,900 [Ref]
,,0.203,-0.009,-1.818,-0.367,-0.346,-0.496,-0.006,-0.016,0.002,-0.003,-0.004,0.183,Pathlength
,E,0.121,0.257,0.733,0.574,0.489,0.516,0.083,0.084,0.085,0.084,0.086,0.122,977 [Test]
,,0.085,0.256,0.904,0.636,0.554,0.578,0.084,0.085,0.086,0.084,0.086,0.087,900 [Ref]
,,0.201,0.011,-0.952,-0.346,-0.361,-0.346,-0.004,-0.006,-0.004,-0.003,-0.004,0.194,Pathlength
,F,0.122,0.22,0.531,0.687,0.351,0.665,0.084,0.083,0.084,0.097,0.085,0.118,977 [Test]
,,0.087,0.184,0.696,0.894,0.334,0.796,0.084,0.083,0.084,0.099,0.086,0.085,900 [Ref]
,,0.199,0.199,-0.917,-1.153,0.095,-0.729,-0.002,0.002,-0.001,-0.011,-0.004,0.187,Pathlength
,G,0.122,0.185,0.599,0.492,0.531,0.151,0.083,0.082,0.083,0.084,0.083,0.115,977 [Test]
,,0.086,0.152,0.778,0.525,0.568,0.089,0.084,0.082,0.082,0.085,0.085,0.082,900 [Ref]
,,0.199,0.179,-0.997,-0.184,-0.206,0.344,-0.005,0.004,0.007,-0.006,-0.007,0.185,Pathlength
,H,0.119,0.218,0.858,0.658,0.551,0.147,0.09,0.081,0.084,0.085,0.084,0.114,977 [Test]
,,0.084,0.19,1.358,0.759,0.604,0.091,0.093,0.083,0.086,0.087,0.085,0.082,900 [Ref]
,,0.199,0.159,-2.779,-0.562,-0.292,0.315,-0.014,-0.012,-0.008,-0.008,-0.007,0.18,Pathlength
,,,,,,,,,,,,,,
,A,0.093,0.417,0.34,0.828,0.867,0.567,0.09,0.093,0.089,0.09,0.09,0.086,880
,B,0.085,0.181,1.029,0.789,0.815,0.645,0.099,0.088,0.09,0.089,0.095,0.086,880
,C,0.088,0.174,0.229,1.079,0.582,0.637,0.088,0.092,0.088,0.089,0.098,0.091,880
,D,0.089,0.296,1.409,0.64,0.602,0.656,0.09,0.093,0.09,0.09,0.091,0.094,880
,E,0.089,0.287,0.998,0.657,0.579,0.607,0.09,0.091,0.092,0.09,0.092,0.091,880
,F,0.092,0.192,0.821,1.075,0.35,0.872,0.09,0.089,0.089,0.103,0.091,0.089,880
,G,0.09,0.159,0.931,0.545,0.594,0.093,0.09,0.087,0.087,0.091,0.09,0.086,880
,H,0.088,0.208,1.794,1.05,0.624,0.101,0.099,0.089,0.092,0.092,0.091,0.086,880
