No. ,Info  ,Memo  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,C/N  ratio,Moisture  [%],Date       Time  
19,,,16,COMPASS_May22_140,407.5,soil,16461,399046,1.5,34.061,1.0046,1.0035,22.7021,0,7/21/22 23:00
20,,,17,COMPASS_May22_141,402.8,soil,17479,384217,1.613,33.159,1.0046,1.0035,20.5534,0,7/21/22 23:12
21,,,18,COMPASS_May22_160,1515.3,soil,10299,290467,0.25,6.636,1.0046,1.0035,26.5579,0,7/21/22 23:26
22,,,19,COMPASS_May22_173,478.7,soil,15590,469533,1.208,34.195,1.0046,1.0035,28.297,0,7/21/22 23:38
23,,,20,COMPASS_May22_154,1528.3,soil,10265,293291,0.247,6.645,1.0046,1.0035,26.9132,0,7/21/22 23:52
24,,,21,COMPASS_May22_155,1528,soil,10030,264334,0.241,5.981,1.0046,1.0035,24.8025,0,7/22/22 00:05
25,,,22,COMPASS_May22_156,1445.6,soil,5238,146680,0.137,3.48,1,1.0035,25.4312,0,7/22/22 00:16
26,,,23,COMPASS_May22_157,1458.8,soil,3979,107968,0.104,2.529,1,1.0035,24.2044,0,7/22/22 00:26
27,,,24,COMPASS_May22_158,1511.6,soil,3633,115658,0.092,2.616,1,1.0035,28.2913,0,7/22/22 00:36
28,,,25,COMPASS_May22_159,1548.5,soil,8360,228273,0.203,5.086,1,1.0035,25.1108,0,7/22/22 00:48
29,,,26,COMPASS_May22_161,1542.7,soil,9130,254767,0.217,5.706,1.0046,1.0035,26.3212,0,7/22/22 01:01
30,,,27,COMPASS_May22_162,1475.1,soil,4833,129551,0.124,3.008,1,1.0035,24.2074,0,7/22/22 01:12
31,"Nu,Cu",,90,mt,100,blank [O2],20,26,0.006,0.008,1,1,1.2193,0,7/22/22 02:00
32,,,1,aspartic acid,106.5,aspartic acid 1,29384,111689,10.52,36.06,1.0236,1.0095,3.4278,0,7/22/22 02:11
33,,,2,COMPASS_May22_163,1590.2,soil,6085,143997,0.144,3.124,1,1.0095,21.7496,0,7/22/22 02:21
34,,,3,COMPASS_May22_164,1566.4,soil,5536,143468,0.133,3.159,1,1.0095,23.7302,0,7/22/22 02:32
35,,,4,COMPASS_May22_165,1454.6,soil,2286,63652,0.061,1.494,1,1.0095,24.299,0,7/22/22 02:41
36,,,5,COMPASS_May22_166,1536.1,soil,1803,48806,0.046,1.08,1,1.0095,23.487,0,7/22/22 02:50
37,,,6,COMPASS_May22_167,1536.4,soil,2989,82084,0.076,1.83,1,1.0095,24.2343,0,7/22/22 03:00
38,,,7,COMPASS_May22_168,1532.2,soil,4637,112781,0.115,2.531,1,1.0095,22.0102,0,7/22/22 03:10
39,,,8,COMPASS_May22_169,1573.2,soil,2758,75316,0.068,1.638,1,1.0095,24.0049,0,7/22/22 03:19
40,,,9,COMPASS_May22_170,1594.9,soil,4115,111863,0.099,2.412,1,1.0095,24.4452,0,7/22/22 03:29
41,,,10,COMPASS_May22_171,1560.2,soil,2623,76792,0.066,1.684,1,1.0095,25.6959,0,7/22/22 03:39
42,,,11,COMPASS_May22_172,519.1,soil,19208,514931,1.404,34.831,1.0236,1.0095,24.8116,0,7/22/22 03:51
43,,,12,COMPASS_May22_173,551.8,soil,17825,515690,1.224,32.815,1.0236,1.0095,26.8083,0,7/22/22 04:03
44,,,13,COMPASS_May22_174,512.7,soil,11044,325144,0.808,22.122,1.0236,1.0095,27.366,0,7/22/22 04:15
45,,,14,COMPASS_May22_175,557.4,soil,18445,538807,1.255,33.96,1.0236,1.0095,27.0674,0,7/22/22 04:27
46,,,15,COMPASS_May22_176,554,soil,19285,485372,1.321,30.739,1.0236,1.0095,23.2749,0,7/22/22 04:39
47,,,16,COMPASS_May22_177,473.6,soil,16852,508201,1.347,37.672,1.0236,1.0095,27.9629,0,7/22/22 04:51
48,Nu,,90,mt,100,blank [O2],43,8043,0.013,2.694,1,1,201.181,0,7/22/22 04:59
49,,,17,aspartic acid,106.9,aspartic acid 1,30193,113092,10.52,36.06,0.9997,1.0005,3.4278,0,7/22/22 05:10
50,,,18,COMPASS_May22_178,450.4,soil,17081,398843,1.403,30.709,0.9997,1.0005,21.8954,0,7/22/22 05:22
51,,,19,COMPASS_May22_179,553.5,soil,19778,560222,1.324,35.26,0.9997,1.0005,26.6223,0,7/22/22 05:35
52,,,20,COMPASS_May22_180,514.7,soil,13533,312736,0.968,20.996,0.9997,1.0005,21.6842,0,7/22/22 05:47
53,,,21,COMPASS_May22_181,403.6,soil,15546,355944,1.422,30.533,0.9997,1.0005,21.4679,0,7/22/22 05:59
54,,,22,COMPASS_May22_182,471,soil,16189,361103,1.27,26.549,0.9997,1.0005,20.9038,0,7/22/22 06:12
55,,,23,COMPASS_May22_184,447.8,soil,14208,350921,1.17,27.125,0.9997,1.0005,23.1926,0,7/22/22 06:24
56,,,24,COMPASS_May22_186,517.4,soil,17432,390306,1.246,26.152,0.9997,1.0005,20.9823,0,7/22/22 06:37
57,,,25,COMPASS_May22_196,1566.4,soil,10103,309708,0.236,6.831,0.9997,1.0005,28.9665,0,7/22/22 06:51
58,,,26,COMPASS_May22_197,1602,soil,6759,235943,0.158,5.069,1,1.0005,32.0956,0,7/22/22 07:05
59,,,27,COMPASS_May22_198,1600.7,soil,8997,233136,0.205,5.011,0.9997,1.0005,24.4698,0,7/22/22 07:18
60,,,28,COMPASS_May22_199,1558.6,soil,4193,141443,0.103,3.102,1,1.0005,30.181,0,7/22/22 07:29
61,,,29,COMPASS_May22_200,1457.1,soil,6917,217527,0.178,5.132,1,1.0005,28.8908,0,7/22/22 07:42
62,,,30,COMPASS_May22_201,1571.7,soil,12350,322288,0.289,7.089,0.9997,1.0005,24.5471,0,7/22/22 07:56
63,,,31,COMPASS_May22_202,1427.9,soil,5395,152116,0.143,3.645,1,1.0005,25.5765,0,7/22/22 08:07
64,,,32,COMPASS_May22_203,1478.6,soil,10885,287889,0.27,6.72,0.9997,1.0005,24.9147,0,7/22/22 08:21
65,"Nnp,Cu",,90,mt,100,blank [O2],0,178,0,0.053,1,1,0,0,7/22/22 08:28
66,,,33,aspartic acid,107.3,aspartic acid 1,30349,113725,10.52,36.06,0.9982,0.9986,3.4278,0,7/22/22 08:40
67,,,34,COMPASS_May22_204,1499.5,soil,7942,206617,0.198,4.724,1,0.9986,23.8176,0,7/22/22 08:52
68,,,35,COMPASS_May22_206,1488.1,soil,5556,167971,0.141,3.859,1,0.9986,27.444,0,7/22/22 09:03
69,,,36,COMPASS_May22_207,1561.6,soil,4989,158772,0.121,3.474,1,0.9986,28.7193,0,7/22/22 09:15
70,,,37,COMPASS_May22_208,1506.8,soil,7792,207729,0.194,4.727,1,0.9986,24.4189,0,7/22/22 09:27
71,,,38,COMPASS_May22_209,1441.3,soil,5845,144328,0.152,3.417,1,0.9986,22.4172,0,7/22/22 09:38
72,,,39,COMPASS_May22_210,1505.1,soil,7747,202937,0.193,4.622,1,0.9986,23.9915,0,7/22/22 09:51
73,,,40,COMPASS_May22_211,1556.8,soil,6349,165274,0.153,3.629,1,0.9986,23.7389,0,7/22/22 10:04
74,,,41,COMPASS_May22_212,1570.4,soil,4990,146453,0.12,3.183,1,0.9986,26.4613,0,7/22/22 10:16
75,,,42,COMPASS_May22_214,1539.2,soil,5502,106739,0.135,2.357,1,0.9986,17.5009,0,7/22/22 10:29
76,"Nu,Cu",,90,mt,100,blank [O2],44,74,0.014,0.022,1,1,1.5984,0,7/22/22 10:37
77,,,43,aspartic acid,136.2,aspartic acid 1,39445,144244,10.52,36.06,0.9727,0.9964,3.4278,0,7/22/22 10:48
78,"Nnp,Cu",,90,mt,100,blank,0,62,0,0.018,1,1,0,0,7/22/22 21:32
79,"Nu,Cu",,90,mt,100,blank,14,454,0.004,0.134,1,1,30.5873,0,7/22/22 21:40
80,"Nu,Cu",,90,mt,100,blank [O2],39,21,0.012,0.006,1,1,0.5002,0,7/22/22 21:47
81,,,1,RunIn,107.1,aspartic acid 1,30384,113113,10.417,35.851,0.9855,0.9964,3.4415,0,7/22/22 21:58
82,,,2,RunIn,122.8,aspartic acid 1,34683,128860,10.383,35.678,0.9855,0.9964,3.4362,0,7/22/22 22:09
83,,,3,aspartic acid,125,aspartic acid 1,35336,131054,10.52,36.06,0.9974,1.0077,3.4278,0,7/22/22 22:21
84,,,4,aspartic acid,127,aspartic acid 1,36356,133938,10.52,36.06,0.9847,1.0015,3.4278,0,7/22/22 22:32
85,,,5,COMPASS_May22_145,452.5,soil,17506,359654,1.419,27.634,0.9911,1.0046,19.4751,0,7/22/22 22:44
86,,,6,COMPASS_May22_146,523.6,soil,25610,579046,1.803,38.697,0.9911,1.0046,21.4616,0,7/22/22 22:58
87,,,7,COMPASS_May22_147,471.5,soil,21067,425843,1.643,31.479,0.9911,1.0046,19.1566,0,7/22/22 23:09
88,,,8,COMPASS_May22_148,594.9,soil,22102,385580,1.367,22.558,0.9911,1.0046,16.4993,0,7/22/22 23:22
89,,,9,COMPASS_May22_149,542.7,soil,23219,636010,1.575,41.044,0.9911,1.0046,26.0526,0,7/22/22 23:35
90,,,10,COMPASS_May22_150,484.4,soil,21987,397435,1.67,28.568,0.9911,1.0046,17.1038,0,7/22/22 23:47
91,,,11,COMPASS_May22_151,454.9,soil,20569,526006,1.662,40.417,0.9911,1.0046,24.312,0,7/23/22 00:00
92,,,12,COMPASS_May22_152,468,soil,25887,419550,2.039,31.239,0.9911,1.0046,15.3183,0,7/23/22 00:12
93,,,13,COMPASS_May22_153,449.6,soil,26424,439733,2.167,34.105,0.9911,1.0046,15.736,0,7/23/22 00:25
94,,,14,COMPASS_May22_188,518.2,soil,16726,438644,1.183,29.516,0.9911,1.0046,24.9505,0,7/23/22 00:39
95,,,15,COMPASS_May22_189,496.6,soil,12104,264527,0.888,18.437,0.9911,1.0046,20.7708,0,7/23/22 00:52
96,,,16,COMPASS_May22_190,493.5,soil,18241,365722,1.357,25.772,0.9911,1.0046,18.9976,0,7/23/22 01:06
97,,,17,COMPASS_May22_191,450.2,soil,32263,179753,2.648,13.746,0.9911,1.0046,5.1915,0,7/23/22 01:19
98,,,18,COMPASS_May22_192,455.1,soil,41820,285454,3.402,21.733,0.9911,1.0046,6.3875,0,7/23/22 01:32
99,,,19,COMPASS_May22_193,499.5,soil,151125,81833,11.381,5.584,0.9911,1.0046,0.4907,0,7/23/22 01:45
100,No,,20,COMPASS_May22_194,462,soil,381512,83113,33.586,6.133,0.9911,1.0046,0.1826,0,7/23/22 01:58
101,Cpe,,21,COMPASS_May22_195,452.9,soil,282677,233995,24.348,17.851,0.9911,1.0046,0.7332,0,7/23/22 02:17
102,Cpe,,90,mt,100,blank [O2],12055,7050,4.389,2.356,0.9911,1,0.5367,0,7/23/22 02:32
103,Cpe,,22,aspartic acid,117.1,aspartic acid 1,72477,130667,10.52,36.06,0.4531,0.9469,3.4278,0,7/23/22 02:49
104,,,23,,0,,0,0,0,0,1,1,0,0, 
