[Header]	
System	TOC_TNb Standard	
S/W Version	1.00	
User		
Date/Time	7/21/2022 7:37:25 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 10:32:59 AM	1	1	NPOC	0.000	0.03233	0.000	 	 	 	*******	0.05600	173.21	0.000	0.00	81	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 10:35:07 AM	1	2	NPOC	0.2105	0.03233	0.000	 	 	 	*******	0.05600	173.21	0.000	0.00	81	1	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 10:37:15 AM	1	3	NPOC	0.000	0.03233	0.000	 	 	 	*******	0.05600	173.21	0.000	0.00	81	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 10:39:24 AM	1	4	NPOC	0.09700	0.03233	0.000	 	 	 	*******	0.05600	173.21	0.000	0.00	81	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 10:46:55 AM	2	1	NPOC	5.262	5.143	1.000	 	 	 	*******	0.1775	3.45	0.000	0.00	82	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 10:50:01 AM	2	2	NPOC	6.313	5.143	1.000	 	 	 	*******	0.1775	3.45	0.000	0.00	82	1	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 10:52:34 AM	2	3	NPOC	6.142	5.143	1.000	 	 	 	*******	0.1775	3.45	0.000	0.00	82	1	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 10:54:42 AM	2	4	NPOC	5.228	5.143	1.000	 	 	 	*******	0.1775	3.45	0.000	0.00	82	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 10:57:00 AM	2	5	NPOC	4.939	5.143	1.000	 	 	 	*******	0.1775	3.45	0.000	0.00	82	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:05:30 AM	3	1	NPOC	18.31	17.66	5.000	 	 	 	*******	0.07095	0.40	0.000	0.00	83	1	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:08:05 AM	3	2	NPOC	17.58	17.66	5.000	 	 	 	*******	0.07095	0.40	0.000	0.00	83	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:10:45 AM	3	3	NPOC	17.72	17.66	5.000	 	 	 	*******	0.07095	0.40	0.000	0.00	83	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:13:08 AM	3	4	NPOC	17.67	17.66	5.000	 	 	 	*******	0.07095	0.40	0.000	0.00	83	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:21:05 AM	4	1	NPOC	34.49	34.57	10.00	 	 	 	*******	0.1473	0.43	0.000	0.00	84	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:23:52 AM	4	2	NPOC	34.48	34.57	10.00	 	 	 	*******	0.1473	0.43	0.000	0.00	84	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:26:38 AM	4	3	NPOC	34.74	34.57	10.00	 	 	 	*******	0.1473	0.43	0.000	0.00	84	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:35:21 AM	5	1	NPOC	169.6	170.3	50.00	 	 	 	*******	2.386	1.40	0.000	0.00	85	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:38:23 AM	5	2	NPOC	168.4	170.3	50.00	 	 	 	*******	2.386	1.40	0.000	0.00	85	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:41:23 AM	5	3	NPOC	173.0	170.3	50.00	 	 	 	*******	2.386	1.40	0.000	0.00	85	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:50:12 AM	6	1	NPOC	350.9	353.2	100.0	 	 	 	*******	4.246	1.20	0.000	0.00	86	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:53:26 AM	6	2	NPOC	350.6	353.2	100.0	 	 	 	*******	4.246	1.20	0.000	0.00	86	0	50	1.000	
Standard	NPOC	cal	Untitled	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal		1.00			7/20/2022 11:56:32 AM	6	3	NPOC	358.1	353.2	100.0	 	 	 	*******	4.246	1.20	0.000	0.00	86	0	50	1.000	
Unknown	NPOC	DIW		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal	1.00			7/20/2022 12:03:55 PM	1	1	NPOC	3.809	2.212	1.085	0.6300	NPOC:0.6300mg/L	NPOC:0.6300mg/L	*******	0.08105	3.66	0.02309	3.66	87	1	50	1.000	
Unknown	NPOC	DIW		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal	1.00			7/20/2022 12:06:03 PM	1	2	NPOC	2.474	2.212	0.7047	0.6300	NPOC:0.6300mg/L	NPOC:0.6300mg/L	*******	0.08105	3.66	0.02309	3.66	87	1	50	1.000	
Unknown	NPOC	DIW		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal	1.00			7/20/2022 12:08:12 PM	1	3	NPOC	2.291	2.212	0.6526	0.6300	NPOC:0.6300mg/L	NPOC:0.6300mg/L	*******	0.08105	3.66	0.02309	3.66	87	0	50	1.000	
Unknown	NPOC	DIW		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal	1.00			7/20/2022 12:10:20 PM	1	4	NPOC	2.215	2.212	0.6309	0.6300	NPOC:0.6300mg/L	NPOC:0.6300mg/L	*******	0.08105	3.66	0.02309	3.66	87	0	50	1.000	
Unknown	NPOC	DIW		C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.cal	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2022_07_20_10_14_18.cal	1.00			7/20/2022 12:12:28 PM	1	5	NPOC	2.129	2.212	0.6064	0.6300	NPOC:0.6300mg/L	NPOC:0.6300mg/L	*******	0.08105	3.66	0.02309	3.66	87	0	50	1.000	
