"","tray","analysis","letter","name","value"
"1","Tray1","Fe-II","A","1","FAS standard - volume 20 uL - serial dilution 2x"
"2","Tray1","Fe-II","A","2","COMPASS_Dec2021_001"
"3","Tray1","Fe-II","A","3","COMPASS_Dec2021_009"
"4","Tray1","Fe-II","A","4","COMPASS_Dec2021_015"
"5","Tray1","Fe-II","A","5","COMPASS_Dec2021_021"
"6","Tray1","Fe-II","A","6","COMPASS_Dec2021_029"
"7","Tray1","Fe-II","A","7","COMPASS_Dec2021_034"
"8","Tray1","Fe-II","A","8","rep-35"
"9","Tray1","Fe-II","A","9","COMPASS_Dec2021_047"
"10","Tray1","Fe-II","A","10","COMPASS_Dec2021_052"
"11","Tray1","Fe-II","A","11","NULL"
"12","Tray1","Fe-II","A","12","COMPASS_Dec2021_066"
"13","Tray1","Fe-II","B","1","NULL"
"14","Tray1","Fe-II","B","2","COMPASS_Dec2021_002"
"15","Tray1","Fe-II","B","3","COMPASS_Dec2021_010"
"16","Tray1","Fe-II","B","4","COMPASS_Dec2021_016"
"17","Tray1","Fe-II","B","5","COMPASS_Dec2021_022"
"18","Tray1","Fe-II","B","6","COMPASS_Dec2021_030"
"19","Tray1","Fe-II","B","7","COMPASS_Dec2021_035"
"20","Tray1","Fe-II","B","8","blank"
"21","Tray1","Fe-II","B","9","COMPASS_Dec2021_048"
"22","Tray1","Fe-II","B","10","COMPASS_Dec2021_053"
"23","Tray1","Fe-II","B","11","rep-55"
"24","Tray1","Fe-II","B","12","COMPASS_Dec2021_067"
"25","Tray1","Fe-II","C","1","NULL"
"26","Tray1","Fe-II","C","2","COMPASS_Dec2021_003"
"27","Tray1","Fe-II","C","3","rep-5"
"28","Tray1","Fe-II","C","4","COMPASS_Dec2021_017"
"29","Tray1","Fe-II","C","5","COMPASS_Dec2021_023"
"30","Tray1","Fe-II","C","6","rep-25"
"31","Tray1","Fe-II","C","7","COMPASS_Dec2021_036"
"32","Tray1","Fe-II","C","8","COMPASS_Dec2021_041"
"33","Tray1","Fe-II","C","9","COMPASS_Dec2021_049"
"34","Tray1","Fe-II","C","10","COMPASS_Dec2021_054"
"35","Tray1","Fe-II","C","11","blank"
"36","Tray1","Fe-II","C","12","COMPASS_Dec2021_068"
"37","Tray1","Fe-II","D","1","NULL"
"38","Tray1","Fe-II","D","2","COMPASS_Dec2021_004"
"39","Tray1","Fe-II","D","3","blank"
"40","Tray1","Fe-II","D","4","COMPASS_Dec2021_018"
"41","Tray1","Fe-II","D","5","COMPASS_Dec2021_024"
"42","Tray1","Fe-II","D","6","blank"
"43","Tray1","Fe-II","D","7","COMPASS_Dec2021_037"
"44","Tray1","Fe-II","D","8","COMPASS_Dec2021_042"
"45","Tray1","Fe-II","D","9","COMPASS_Dec2021_050"
"46","Tray1","Fe-II","D","10","COMPASS_Dec2021_055"
"47","Tray1","Fe-II","D","11","COMPASS_Dec2021_061"
"48","Tray1","Fe-II","D","12","COMPASS_Dec2021_069"
"49","Tray1","Fe-II","E","1","NULL"
"50","Tray1","Fe-II","E","2","COMPASS_Dec2021_005"
"51","Tray1","Fe-II","E","3","COMPASS_Dec2021_011"
"52","Tray1","Fe-II","E","4","COMPASS_Dec2021_019"
"53","Tray1","Fe-II","E","5","COMPASS_Dec2021_025"
"54","Tray1","Fe-II","E","6","cross contaminated"
"55","Tray1","Fe-II","E","7","COMPASS_Dec2021_038"
"56","Tray1","Fe-II","E","8","COMPASS_Dec2021_043"
"57","Tray1","Fe-II","E","9","NULL"
"58","Tray1","Fe-II","E","10","COMPASS_Dec2021_057"
"59","Tray1","Fe-II","E","11","COMPASS_Dec2021_062"
"60","Tray1","Fe-II","E","12","COMPASS_Dec2021_070"
"61","Tray1","Fe-II","F","1","NULL"
"62","Tray1","Fe-II","F","2","COMPASS_Dec2021_006"
"63","Tray1","Fe-II","F","3","COMPASS_Dec2021_012"
"64","Tray1","Fe-II","F","4","COMPASS_Dec2021_020"
"65","Tray1","Fe-II","F","5","COMPASS_Dec2021_026"
"66","Tray1","Fe-II","F","6","COMPASS_Dec2021_031"
"67","Tray1","Fe-II","F","7","COMPASS_Dec2021_039"
"68","Tray1","Fe-II","F","8","COMPASS_Dec2021_044"
"69","Tray1","Fe-II","F","9","rep-45"
"70","Tray1","Fe-II","F","10","COMPASS_Dec2021_058"
"71","Tray1","Fe-II","F","11","COMPASS_Dec2021_063"
"72","Tray1","Fe-II","F","12","NULL"
"73","Tray1","Fe-II","G","1","NULL"
"74","Tray1","Fe-II","G","2","COMPASS_Dec2021_007"
"75","Tray1","Fe-II","G","3","COMPASS_Dec2021_013"
"76","Tray1","Fe-II","G","4","rep-15"
"77","Tray1","Fe-II","G","5","COMPASS_Dec2021_027"
"78","Tray1","Fe-II","G","6","COMPASS_Dec2021_032"
"79","Tray1","Fe-II","G","7","COMPASS_Dec2021_040"
"80","Tray1","Fe-II","G","8","COMPASS_Dec2021_045"
