"","analysis_ID","ion","ppm","date_run","sample_label","dilution_factor","ppm_dil_corrected","max","HIGH"
"1","DOC_CMPS_KFP_0271","Sodium",66.54,2022-12-16,"COMPASS_May22_129",1,66.54,39.91,TRUE
"2","DOC_CMPS_KFP_0272","Sodium",45.9,2022-12-16,"COMPASS_May22_130",1,45.9,39.91,TRUE
"3","DOC_CMPS_KFP_0273","Sodium",44.5,2022-12-16,"COMPASS_May22_131",1,44.5,39.91,TRUE
"4","DOC_CMPS_KFP_0274","Sodium",67.64,2022-12-16,"COMPASS_May22_132",1,67.64,39.91,TRUE
"5","DOC_CMPS_KFP_0274","Chloride",103.42,2022-12-16,"COMPASS_May22_132",1,103.42,101.79,TRUE
"6","DOC_CMPS_KFP_0275","Sodium",47.27,2022-12-16,"COMPASS_May22_133",1,47.27,39.91,TRUE
"7","DOC_CMPS_KFP_0277","Sodium",76.06,2022-12-16,"COMPASS_May22_135",1,76.06,39.91,TRUE
"8","DOC_CMPS_KFP_0277","Chloride",117.6,2022-12-16,"COMPASS_May22_135",1,117.6,101.79,TRUE
"9","DOC_CMPS_KFP_0278","Sodium",48.5,2022-12-16,"COMPASS_May22_136",1,48.5,39.91,TRUE
"10","DOC_CMPS_KFP_0279","Sodium",66.67,2022-12-16,"COMPASS_May22_137",1,66.67,39.91,TRUE
"11","DOC_CMPS_KFP_0280","Sodium",63.89,2022-12-16,"COMPASS_May22_138",2.322894,148.41,39.91,TRUE
"12","DOC_CMPS_KFP_0281","Sodium",76.66,2022-12-16,"COMPASS_May22_139",1.545648,118.49,39.91,TRUE
"13","DOC_CMPS_KFP_0281","Chloride",120.12,2022-12-16,"COMPASS_May22_139",1.545648,185.66,101.79,TRUE
"14","DOC_CMPS_KFP_0282","Sodium",73.78,2022-12-16,"COMPASS_May22_140",2.20458,162.65,39.91,TRUE
"15","DOC_CMPS_KFP_0282","Chloride",115.15,2022-12-16,"COMPASS_May22_140",2.20458,253.86,101.79,TRUE
"16","DOC_CMPS_KFP_0283","Sodium",88.83,2022-12-16,"COMPASS_May22_141",2.054576,182.51,39.91,TRUE
"17","DOC_CMPS_KFP_0283","Chloride",145.09,2022-12-16,"COMPASS_May22_141",2.054576,298.1,101.79,TRUE
"18","DOC_CMPS_KFP_0284","Sodium",95.6,2022-12-16,"COMPASS_May22_142",1.703738,162.88,39.91,TRUE
"19","DOC_CMPS_KFP_0284","Chloride",148.36,2022-12-16,"COMPASS_May22_142",1.703738,252.77,101.79,TRUE
"20","DOC_CMPS_KFP_0285","Sodium",87.71,2022-12-16,"COMPASS_May22_143",1.937188,169.91,39.91,TRUE
"21","DOC_CMPS_KFP_0285","Chloride",137.45,2022-12-16,"COMPASS_May22_143",1.937188,266.27,101.79,TRUE
"22","DOC_CMPS_KFP_0286","Sodium",73.02,2022-12-16,"COMPASS_May22_144",1.703738,124.41,39.91,TRUE
"23","DOC_CMPS_KFP_0286","Chloride",116.61,2022-12-16,"COMPASS_May22_144",1.703738,198.67,101.79,TRUE
"24","DOC_CMPS_KFP_0287","Sodium",70.24,2022-12-16,"COMPASS_May22_145",5.484844,385.26,39.91,TRUE
"25","DOC_CMPS_KFP_0287","Chloride",116.29,2022-12-16,"COMPASS_May22_145",5.484844,637.83,101.79,TRUE
"26","DOC_CMPS_KFP_0288","Sodium",74.27,2022-12-16,"COMPASS_May22_146",6.857164,509.28,39.91,TRUE
"27","DOC_CMPS_KFP_0288","Chloride",126.9,2022-12-16,"COMPASS_May22_146",6.857164,870.17,101.79,TRUE
"28","DOC_CMPS_KFP_0289","Sodium",55.41,2022-12-16,"COMPASS_May22_147",9.30687,515.69,39.91,TRUE
"29","DOC_CMPS_KFP_0290","Sodium",105.26,2022-12-16,"COMPASS_May22_148",5.370622,565.31,39.91,TRUE
"30","DOC_CMPS_KFP_0290","Chloride",183.31,2022-12-16,"COMPASS_May22_148",5.370622,984.49,101.79,TRUE
"31","DOC_CMPS_KFP_0291","Sodium",81.51,2022-12-16,"COMPASS_May22_149",6.012528,490.08,39.91,TRUE
"32","DOC_CMPS_KFP_0291","Chloride",140.9,2022-12-16,"COMPASS_May22_149",6.012528,847.17,101.79,TRUE
"33","DOC_CMPS_KFP_0292","Sodium",562.58,2022-12-16,"COMPASS_May22_150",1,562.58,39.91,TRUE
"34","DOC_CMPS_KFP_0292","Magnesium",66.81,2022-12-16,"COMPASS_May22_150",1,66.81,49.87,TRUE
"35","DOC_CMPS_KFP_0292","Sulfate",239.26,2022-12-16,"COMPASS_May22_150",1,239.26,99.46,TRUE
"36","DOC_CMPS_KFP_0293","Sodium",76.14,2022-12-16,"COMPASS_May22_151",6.682916,508.84,39.91,TRUE
"37","DOC_CMPS_KFP_0293","Chloride",132.74,2022-12-16,"COMPASS_May22_151",6.682916,887.09,101.79,TRUE
"38","DOC_CMPS_KFP_0297","Sodium",77.25,2022-12-16,"COMPASS_May22_152",6.845538,528.82,39.91,TRUE
"39","DOC_CMPS_KFP_0297","Chloride",136.05,2022-12-16,"COMPASS_May22_152",6.845538,931.34,101.79,TRUE
"40","DOC_CMPS_KFP_0298","Sodium",569.15,2022-12-16,"COMPASS_May22_153",1,569.15,39.91,TRUE
"41","DOC_CMPS_KFP_0298","Magnesium",70.76,2022-12-16,"COMPASS_May22_153",1,70.76,49.87,TRUE
"42","DOC_CMPS_KFP_0298","Sulfate",277.97,2022-12-16,"COMPASS_May22_153",1,277.97,99.46,TRUE
"43","DOC_CMPS_KFP_0299","Sodium",58.82,2022-12-16,"COMPASS_May22_154",1,58.82,39.91,TRUE
"44","DOC_CMPS_KFP_0301","Sodium",54.6,2022-12-16,"COMPASS_May22_156",1,54.6,39.91,TRUE
"45","DOC_CMPS_KFP_0304","Sodium",42.7,2022-12-16,"COMPASS_May22_159",1,42.7,39.91,TRUE
"46","DOC_CMPS_KFP_0309","Sodium",85.3,2022-12-16,"COMPASS_May22_164",1,85.3,39.91,TRUE
"47","DOC_CMPS_KFP_0309","Chloride",103.59,2022-12-16,"COMPASS_May22_164",1,103.59,101.79,TRUE
"48","DOC_CMPS_KFP_0310","Sodium",72.66,2022-12-16,"COMPASS_May22_165",1,72.66,39.91,TRUE
"49","DOC_CMPS_KFP_0310","Chloride",106.06,2022-12-16,"COMPASS_May22_165",1,106.06,101.79,TRUE
"50","DOC_CMPS_KFP_0311","Sodium",51.45,2022-12-16,"COMPASS_May22_166",1,51.45,39.91,TRUE
"51","DOC_CMPS_KFP_0312","Sodium",84.67,2022-12-16,"COMPASS_May22_167",1,84.67,39.91,TRUE
"52","DOC_CMPS_KFP_0312","Chloride",122.04,2022-12-16,"COMPASS_May22_167",1,122.04,101.79,TRUE
"53","DOC_CMPS_KFP_0313","Sodium",86.69,2022-12-16,"COMPASS_May22_168",1,86.69,39.91,TRUE
"54","DOC_CMPS_KFP_0313","Chloride",137.01,2022-12-16,"COMPASS_May22_168",1,137.01,101.79,TRUE
"55","DOC_CMPS_KFP_0314","Sodium",62.72,2022-12-16,"COMPASS_May22_169",1,62.72,39.91,TRUE
"56","DOC_CMPS_KFP_0315","Sodium",79.67,2022-12-16,"COMPASS_May22_170",1,79.67,39.91,TRUE
"57","DOC_CMPS_KFP_0315","Chloride",114.41,2022-12-16,"COMPASS_May22_170",1,114.41,101.79,TRUE
"58","DOC_CMPS_KFP_0316","Sodium",61.31,2022-12-16,"COMPASS_May22_171",1,61.31,39.91,TRUE
"59","DOC_CMPS_KFP_0320","Sodium",82.26,2022-12-16,"COMPASS_May22_172",2.129496,175.17,39.91,TRUE
"60","DOC_CMPS_KFP_0320","Chloride",122.94,2022-12-16,"COMPASS_May22_172",2.129496,261.8,101.79,TRUE
"61","DOC_CMPS_KFP_0321","Sodium",95.57,2022-12-16,"COMPASS_May22_173",1,95.57,39.91,TRUE
"62","DOC_CMPS_KFP_0321","Chloride",130.51,2022-12-16,"COMPASS_May22_173",1,130.51,101.79,TRUE
"63","DOC_CMPS_KFP_0322","Sodium",51.79,2022-12-16,"COMPASS_May22_174",1,51.79,39.91,TRUE
"64","DOC_CMPS_KFP_0323","Sodium",104.05,2022-12-16,"COMPASS_May22_175",1,104.05,39.91,TRUE
"65","DOC_CMPS_KFP_0323","Chloride",145.88,2022-12-16,"COMPASS_May22_175",1,145.88,101.79,TRUE
"66","DOC_CMPS_KFP_0326","Sodium",89.86,2022-12-16,"COMPASS_May22_178",1.661492,149.3,39.91,TRUE
"67","DOC_CMPS_KFP_0326","Chloride",137.53,2022-12-16,"COMPASS_May22_178",1.661492,228.5,101.79,TRUE
"68","DOC_CMPS_KFP_0327","Sodium",65.08,2022-12-16,"COMPASS_May22_179",1,65.08,39.91,TRUE
"69","DOC_CMPS_KFP_0328","Sodium",110.7,2022-12-16,"COMPASS_May22_180",1.661492,183.93,39.91,TRUE
"70","DOC_CMPS_KFP_0328","Chloride",158.22,2022-12-16,"COMPASS_May22_180",1.661492,262.88,101.79,TRUE
"71","DOC_CMPS_KFP_0329","Sodium",83.06,2022-12-16,"COMPASS_May22_181",1.43031,118.8,39.91,TRUE
"72","DOC_CMPS_KFP_0329","Chloride",112.99,2022-12-16,"COMPASS_May22_181",1.43031,161.61,101.79,TRUE
"73","DOC_CMPS_KFP_0330","Sodium",90.11,2022-12-16,"COMPASS_May22_182",2.140212,192.85,39.91,TRUE
"74","DOC_CMPS_KFP_0330","Chloride",128.74,2022-12-16,"COMPASS_May22_182",2.140212,275.53,101.79,TRUE
"75","DOC_CMPS_KFP_0331","Sodium",64.56,2022-12-16,"COMPASS_May22_183",1.862712,120.26,39.91,TRUE
"76","DOC_CMPS_KFP_0332","Sodium",93.46,2022-12-16,"COMPASS_May22_184",1.89461,177.07,39.91,TRUE
"77","DOC_CMPS_KFP_0332","Chloride",136.58,2022-12-16,"COMPASS_May22_184",1.89461,258.77,101.79,TRUE
