Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\Kaizad\20221412_COMPASS_P_analysis_plate1.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 3,,,,,,,,,,,,,
Date,12/14/22,,,,,,,,,,,,,
Time,2:52:30 PM,,,,,,,,,,,,,
Reader Type:,Synergy Neo2,,,,,,,,,,,,,
Reader Serial Number:,180521A,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  880,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 50 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,25.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,1.34,0.128,0.09,0.097,0.116,0.153,0.121,0.148,0.113,0.13,0.09,0.089,880
,B,0.602,0.131,0.197,0.105,0.124,0.126,0.11,0.153,0.119,0.122,0.096,0.088,880
,C,0.376,0.134,0.169,0.175,0.117,0.109,0.096,0.137,0.121,0.096,0.089,0.089,880
,D,0.284,0.122,0.18,0.094,0.112,0.114,0.316,0.107,0.108,0.124,0.091,0.091,880
,E,0.173,0.126,0.132,0.108,0.13,0.109,0.132,0.12,0.127,0.579,0.092,0.115,880
,F,0.13,0.481,0.126,0.167,1.931,0.121,0.154,0.125,0.152,0.105,0.09,0.092,880
,G,0.137,0.18,0.107,0.198,0.093,0.177,0.365,0.092,0.118,0.135,0.09,0.101,880
,H,0.245,0.166,0.163,0.127,0.128,0.112,0.146,0.109,0.11,0.091,0.092,0.091,880
