[Header]	
System	TOC_TNb Standard	
S/W Version	1.00	
User		
Date/Time	7/15/2022 1:36:45 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_16_12_28_13.cal	1.00			6/17/2022 12:10:03 PM	1	1	NPOC	3.633	0.5182	-43.31	-45.47	NPOC:-45.47mg/L	NPOC:-45.47mg/L	T******	0.2277	43.95	0.1574	-0.35	1	1	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_16_12_28_13.cal	1.00			6/17/2022 12:12:47 PM	1	2	NPOC	4.983	0.5182	-42.38	-45.47	NPOC:-45.47mg/L	NPOC:-45.47mg/L	*******	0.2277	43.95	0.1574	-0.35	1	1	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_16_12_28_13.cal	1.00			6/17/2022 12:15:56 PM	1	3	NPOC	0.3697	0.5182	-45.57	-45.47	NPOC:-45.47mg/L	NPOC:-45.47mg/L	*******	0.2277	43.95	0.1574	-0.35	1	0	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_16_12_28_13.cal	1.00			6/17/2022 12:19:40 PM	1	4	NPOC	0.4045	0.5182	-45.54	-45.47	NPOC:-45.47mg/L	NPOC:-45.47mg/L	*******	0.2277	43.95	0.1574	-0.35	1	0	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_16_12_28_13.cal	1.00			6/17/2022 12:23:31 PM	1	5	NPOC	0.7804	0.5182	-45.28	-45.47	NPOC:-45.47mg/L	NPOC:-45.47mg/L	*******	0.2277	43.95	0.1574	-0.35	1	0	150	1.000	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_16_12_28_13.cal	1.00			6/17/2022 12:34:49 PM	1	1	NPOC	12.34	0.000	-37.29	-45.82	NPOC:-45.82mg/L	NPOC:-45.82mg/L	*******	0.000	0.00	0.000	0.00	2	1	150	1.000	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_16_12_28_13.cal	1.00			6/17/2022 12:38:34 PM	1	2	NPOC	12.44	0.000	-37.22	-45.82	NPOC:-45.82mg/L	NPOC:-45.82mg/L	*******	0.000	0.00	0.000	0.00	2	1	150	1.000	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_16_12_28_13.cal	1.00			6/17/2022 12:41:33 PM	1	3	NPOC	0.000	0.000	-45.82	-45.82	NPOC:-45.82mg/L	NPOC:-45.82mg/L	*******	0.000	0.00	0.000	0.00	2	0	150	1.000	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_16_12_28_13.cal	1.00			6/17/2022 12:45:17 PM	1	4	NPOC	0.000	0.000	-45.82	-45.82	NPOC:-45.82mg/L	NPOC:-45.82mg/L	*******	0.000	0.00	0.000	0.00	2	0	150	1.000	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_16_12_28_13.cal	1.00			6/17/2022 12:49:01 PM	1	5	NPOC	0.000	0.000	-45.82	-45.82	NPOC:-45.82mg/L	NPOC:-45.82mg/L	*******	0.000	0.00	0.000	0.00	2	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 12:59:47 PM	1	1	NPOC	1.565	0.4561	0.000	 	 	 	*******	0.3593	78.78	0.000	0.00	3	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:06:19 PM	1	2	NPOC	4.299	0.4561	0.000	 	 	 	T******	0.3593	78.78	0.000	0.00	3	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:08:28 PM	1	3	NPOC	0.7442	0.4561	0.000	 	 	 	*******	0.3593	78.78	0.000	0.00	3	0	150	1.000	
